kategori,sub_materi,topik,level,pertanyaan,opsi_a,opsi_b,opsi_c,opsi_d,opsi_e,kunci_jawaban,pembahasan,skor_tkp
TWK,Pancasila,Sila 1 Ketuhanan,mudah,[Pancasila - Sila 1 Ketuhanan] Gotong royong membangun jembatan desa yang melibatkan semua warga tanpa membedakan suku mencerminkan sila...,Pasal 27 ayat 2,Ikut melaksanakan ketertiban dunia,MPR,Pasal 28A-28J,Reformasi 1998,D,Gotong royong lintas suku adalah wujud Persatuan Indonesia sila ke-3.,
TWK,Pancasila,Sila 4 Kerakyatan,sedang,[Pancasila - Sila 4 Kerakyatan] Seorang ASN menolak melayani warga berbeda agama dengan alasan keyakinan pribadi. Tindakan ini bertentangan dengan sila Pancasila ke-...,Pasal 27 ayat 2,Mencerdaskan kehidupan bangsa,Sila pertama Ketuhanan Yang Maha Esa,Pasal 30 ayat 1,Konferensi Meja Bundar,D,Sila 1 menjamin kebebasan beragama dan toleransi; menolak layanan karena agama melanggar Ketuhanan Yang Maha Esa yang inklusif.,
TWK,Pancasila,Sila 4 Kerakyatan,sedang,[Pancasila - Sila 4 Kerakyatan] Ketua RT memutuskan iuran warga melalui musyawarah mufakat meski ada perbedaan pendapat. Nilai ini sesuai sila ke-...,Ikut melaksanakan ketertiban dunia,Ketahanan nasional,Integrasi nasional,Sumpah Pemuda 1928,DPD,C,Musyawarah mufakat adalah inti sila ke-4 Kerakyatan yang dipimpin hikmat kebijaksanaan.,
TWK,Pancasila,Pancasila sebagai Ideologi,sedang,[Pancasila - Pancasila sebagai Ideologi] Program bantuan sosial yang memprioritaskan warga miskin tanpa diskriminasi mencerminkan sila ke-...,Sila kelima Keadilan Sosial,Pasal 28A-28J,Pasal 33 ayat 3,Sila kedua Kemanusiaan yang Adil dan Beradab,Presiden,C,Keadilan sosial sila ke-5 menuntut pemerataan dan keberpihakan pada yang lemah.,
TWK,Pancasila,Pancasila sebagai Ideologi,sedang,[Pancasila - Pancasila sebagai Ideologi] Seorang ASN menolak melayani warga berbeda agama dengan alasan keyakinan pribadi. Tindakan ini bertentangan dengan sila Pancasila ke-...,Integrasi nasional,Melindungi segenap bangsa dan tumpah darah,Sila kedua Kemanusiaan yang Adil dan Beradab,Presiden,MPR,A,Sila 1 menjamin kebebasan beragama dan toleransi; menolak layanan karena agama melanggar Ketuhanan Yang Maha Esa yang inklusif.,
TWK,Pancasila,Sila 5 Keadilan,sedang,[Pancasila - Sila 5 Keadilan] Gotong royong membangun jembatan desa yang melibatkan semua warga tanpa membedakan suku mencerminkan sila...,Sila kedua Kemanusiaan yang Adil dan Beradab,DPR,Sila ketiga Persatuan Indonesia,Reformasi 1998,Pasal 27 ayat 2,D,Gotong royong lintas suku adalah wujud Persatuan Indonesia sila ke-3.,
TWK,Pancasila,Sila 1 Ketuhanan,sulit,[Pancasila - Sila 1 Ketuhanan] Seorang ASN menolak melayani warga berbeda agama dengan alasan keyakinan pribadi. Tindakan ini bertentangan dengan sila Pancasila ke-...,Wawasan Nusantara,Reformasi 1998,Pasal 29 ayat 2,Mencerdaskan kehidupan bangsa,Sila keempat Kerakyatan,D,Sila 1 menjamin kebebasan beragama dan toleransi; menolak layanan karena agama melanggar Ketuhanan Yang Maha Esa yang inklusif.,
TWK,Pancasila,Sila 5 Keadilan,sedang,[Pancasila - Sila 5 Keadilan] Gotong royong membangun jembatan desa yang melibatkan semua warga tanpa membedakan suku mencerminkan sila...,Presiden,Mahkamah Konstitusi,Sila kedua Kemanusiaan yang Adil dan Beradab,Sila ketiga Persatuan Indonesia,Ikut melaksanakan ketertiban dunia,B,Gotong royong lintas suku adalah wujud Persatuan Indonesia sila ke-3.,
TWK,Pancasila,Pancasila sebagai Ideologi,sedang,[Pancasila - Pancasila sebagai Ideologi] Ketua RT memutuskan iuran warga melalui musyawarah mufakat meski ada perbedaan pendapat. Nilai ini sesuai sila ke-...,Konferensi Meja Bundar,Pasal 30 ayat 1,Pasal 28A-28J,Wawasan Nusantara,Ketahanan nasional,A,Musyawarah mufakat adalah inti sila ke-4 Kerakyatan yang dipimpin hikmat kebijaksanaan.,
TWK,UUD1945,Amandemen UUD,sedang,[UUD1945 - Amandemen UUD] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Pasal 30 ayat 1,Mencerdaskan kehidupan bangsa,Sila kelima Keadilan Sosial,Wawasan Nusantara,Bela negara melalui profesi,C,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,UUD1945,Amandemen UUD,mudah,[UUD1945 - Amandemen UUD] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Melindungi segenap bangsa dan tumpah darah,Konferensi Meja Bundar,Otonomi daerah,Sila ketiga Persatuan Indonesia,Sila pertama Ketuhanan Yang Maha Esa,E,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,UUD1945,Sistem Ketatanegaraan,sedang,[UUD1945 - Sistem Ketatanegaraan] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Sila ketiga Persatuan Indonesia,DPD,Pasal 28A-28J,DPR,Pasal 30 ayat 1,A,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,UUD1945,Pasal 27-34 Hak Warga,sulit,[UUD1945 - Pasal 27-34 Hak Warga] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,Kebangkitan Nasional 1908,Sila ketiga Persatuan Indonesia,Pasal 29 ayat 2,Memajukan kesejahteraan umum,Pasal 33 ayat 3,C,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,UUD1945,Pasal 27-34 Hak Warga,sulit,[UUD1945 - Pasal 27-34 Hak Warga] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Proklamasi 1945,DPD,Ketahanan nasional,Pasal 33 ayat 3,Mahkamah Konstitusi,E,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,UUD1945,Lembaga Negara,sedang,[UUD1945 - Lembaga Negara] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Wawasan Nusantara,Proklamasi 1945,DPD,Pasal 33 ayat 3,Konferensi Meja Bundar,E,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,UUD1945,Lembaga Negara,sulit,[UUD1945 - Lembaga Negara] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Kebangkitan Nasional 1908,Sila kelima Keadilan Sosial,Pasal 30 ayat 1,Sila keempat Kerakyatan,Integrasi nasional,A,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,UUD1945,Hak Asasi,mudah,[UUD1945 - Hak Asasi] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Pasal 30 ayat 1,Pasal 33 ayat 3,Mahkamah Konstitusi,Pasal 28A-28J,Ketahanan nasional,E,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,UUD1945,Amandemen UUD,sulit,[UUD1945 - Amandemen UUD] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Wawasan Nusantara,Bela negara melalui profesi,Reformasi 1998,Pasal 30 ayat 1,DPR,A,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,UUD1945,Sistem Ketatanegaraan,sedang,[UUD1945 - Sistem Ketatanegaraan] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,Kebangkitan Nasional 1908,Konferensi Meja Bundar,Reformasi 1998,Sila kedua Kemanusiaan yang Adil dan Beradab,Sila ketiga Persatuan Indonesia,B,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,UUD1945,Lembaga Negara,mudah,[UUD1945 - Lembaga Negara] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Proklamasi 1945,Pasal 30 ayat 1,Sila kedua Kemanusiaan yang Adil dan Beradab,Sila pertama Ketuhanan Yang Maha Esa,Melindungi segenap bangsa dan tumpah darah,B,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,UUD1945,Pasal 27-34 Hak Warga,sedang,[UUD1945 - Pasal 27-34 Hak Warga] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,Pasal 27 ayat 2,Integrasi nasional,Keadilan sosial bagi seluruh rakyat,DPD,Ketahanan nasional,D,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,UUD1945,Sistem Ketatanegaraan,sedang,[UUD1945 - Sistem Ketatanegaraan] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Sila keempat Kerakyatan,Sila ketiga Persatuan Indonesia,Kebangkitan Nasional 1908,Ketahanan nasional,Sila kelima Keadilan Sosial,C,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,UUD1945,Hak Asasi,sedang,[UUD1945 - Hak Asasi] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Proklamasi 1945,Memajukan kesejahteraan umum,Presiden,DPD,Sila kelima Keadilan Sosial,B,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,UUD1945,Sistem Ketatanegaraan,sedang,[UUD1945 - Sistem Ketatanegaraan] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Sila kedua Kemanusiaan yang Adil dan Beradab,Pasal 33 ayat 3,Memajukan kesejahteraan umum,Kebangkitan Nasional 1908,Konferensi Meja Bundar,A,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,UUD1945,Pembukaan UUD 1945,sedang,[UUD1945 - Pembukaan UUD 1945] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,Pasal 28A-28J,Wawasan Nusantara,Pasal 29 ayat 2,Sila keempat Kerakyatan,Memajukan kesejahteraan umum,A,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,UUD1945,Hak Asasi,sulit,[UUD1945 - Hak Asasi] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Mahkamah Konstitusi,Integrasi nasional,Sila kelima Keadilan Sosial,Konferensi Meja Bundar,Pasal 29 ayat 2,B,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,UUD1945,Pasal 27-34 Hak Warga,sedang,[UUD1945 - Pasal 27-34 Hak Warga] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Kebangkitan Nasional 1908,Ikut melaksanakan ketertiban dunia,Sila pertama Ketuhanan Yang Maha Esa,Pasal 27 ayat 2,Integrasi nasional,D,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,UUD1945,Amandemen UUD,sulit,[UUD1945 - Amandemen UUD] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Sumpah Pemuda 1928,Wawasan Nusantara,Reformasi 1998,Integrasi nasional,Pasal 29 ayat 2,E,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,UUD1945,Amandemen UUD,mudah,[UUD1945 - Amandemen UUD] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Sumpah Pemuda 1928,Ketahanan nasional,Sila keempat Kerakyatan,Mencerdaskan kehidupan bangsa,Reformasi 1998,E,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,NKRI,Bentuk Negara,sedang,[NKRI - Bentuk Negara] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Pasal 29 ayat 2,Pasal 28A-28J,Proklamasi 1945,Konferensi Meja Bundar,Keadilan sosial bagi seluruh rakyat,D,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,NKRI,Wawasan Nusantara,mudah,[NKRI - Wawasan Nusantara] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Proklamasi 1945,Sumpah Pemuda 1928,Reformasi 1998,Pasal 29 ayat 2,Sila pertama Ketuhanan Yang Maha Esa,E,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,NKRI,Integrasi Nasional,sedang,[NKRI - Integrasi Nasional] Program bantuan sosial yang memprioritaskan warga miskin tanpa diskriminasi mencerminkan sila ke-...,Mencerdaskan kehidupan bangsa,Melindungi segenap bangsa dan tumpah darah,Pasal 30 ayat 1,Reformasi 1998,Sila ketiga Persatuan Indonesia,A,Keadilan sosial sila ke-5 menuntut pemerataan dan keberpihakan pada yang lemah.,
TWK,NKRI,Wawasan Nusantara,sedang,[NKRI - Wawasan Nusantara] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Bela negara melalui profesi,DPR,Mencerdaskan kehidupan bangsa,Wawasan Nusantara,Proklamasi 1945,D,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,NKRI,Bela Negara,mudah,[NKRI - Bela Negara] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Sila pertama Ketuhanan Yang Maha Esa,Sila keempat Kerakyatan,Kebangkitan Nasional 1908,Pasal 30 ayat 1,Pasal 27 ayat 2,B,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,NKRI,Bela Negara,sedang,[NKRI - Bela Negara] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Sila kedua Kemanusiaan yang Adil dan Beradab,Sila keempat Kerakyatan,Mahkamah Konstitusi,Ikut melaksanakan ketertiban dunia,Memajukan kesejahteraan umum,A,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,NKRI,Integrasi Nasional,sedang,[NKRI - Integrasi Nasional] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Ikut melaksanakan ketertiban dunia,Mahkamah Konstitusi,DPR,Sila keempat Kerakyatan,Mencerdaskan kehidupan bangsa,E,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,NKRI,Bela Negara,sedang,[NKRI - Bela Negara] Program bantuan sosial yang memprioritaskan warga miskin tanpa diskriminasi mencerminkan sila ke-...,Pasal 30 ayat 1,Sila kedua Kemanusiaan yang Adil dan Beradab,Ketahanan nasional,Ikut melaksanakan ketertiban dunia,Sila pertama Ketuhanan Yang Maha Esa,E,Keadilan sosial sila ke-5 menuntut pemerataan dan keberpihakan pada yang lemah.,
TWK,NKRI,Bela Negara,mudah,[NKRI - Bela Negara] Wawasan Nusantara sebagai cara pandang bangsa menekankan...,Wawasan Nusantara,Integrasi nasional,Pasal 28A-28J,Memajukan kesejahteraan umum,Ikut melaksanakan ketertiban dunia,C,"Wawasan Nusantara = kesatuan politik, ekonomi, sosial-budaya, pertahanan keamanan dalam wadah NKRI.",
TWK,NKRI,Bentuk Negara,sedang,[NKRI - Bentuk Negara] Sumpah Pemuda 28 Oktober 1928 menegaskan ikrar...,Konferensi Meja Bundar,Melindungi segenap bangsa dan tumpah darah,Mahkamah Konstitusi,Wawasan Nusantara,Reformasi 1998,B,"Isi Sumpah Pemuda: bertumpah darah, berbangsa, berbahasa satu Indonesia.",
TWK,NKRI,Bentuk Negara,sulit,[NKRI - Bentuk Negara] Semangat nasionalisme dalam konteks ASN modern paling tepat diwujudkan dengan...,Kebangkitan Nasional 1908,Pasal 33 ayat 3,DPR,Wawasan Nusantara,Ikut melaksanakan ketertiban dunia,C,"Nasionalisme ASN = pelayanan profesional, integritas, anti-KKN, bukan simbolik semata.",
TWK,NKRI,Wawasan Nusantara,sedang,[NKRI - Wawasan Nusantara] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,Ketahanan nasional,Pasal 33 ayat 3,DPD,Sila kelima Keadilan Sosial,Pasal 28A-28J,D,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,NKRI,Ketahanan Nasional,mudah,[NKRI - Ketahanan Nasional] Sumpah Pemuda 28 Oktober 1928 menegaskan ikrar...,Mencerdaskan kehidupan bangsa,Wawasan Nusantara,Integrasi nasional,Kebangkitan Nasional 1908,Pasal 27 ayat 2,D,"Isi Sumpah Pemuda: bertumpah darah, berbangsa, berbahasa satu Indonesia.",
TWK,NKRI,Bela Negara,sedang,[NKRI - Bela Negara] Ancaman disintegrasi karena ujaran kebencian di media sosial dapat dicegah ASN dengan...,Pasal 33 ayat 3,Mencerdaskan kehidupan bangsa,DPD,Proklamasi 1945,Sila pertama Ketuhanan Yang Maha Esa,D,"ASN harus edukasi dan teladan toleransi, bukan pembiaran atau represi berlebihan.",
TWK,NKRI,Wawasan Nusantara,mudah,[NKRI - Wawasan Nusantara] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Pasal 28A-28J,Ikut melaksanakan ketertiban dunia,Sumpah Pemuda 1928,Presiden,Mahkamah Konstitusi,B,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,NKRI,Integrasi Nasional,sedang,[NKRI - Integrasi Nasional] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Keadilan sosial bagi seluruh rakyat,Wawasan Nusantara,Pasal 28A-28J,DPR,MPR,E,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,NKRI,Integrasi Nasional,sedang,[NKRI - Integrasi Nasional] Ketua RT memutuskan iuran warga melalui musyawarah mufakat meski ada perbedaan pendapat. Nilai ini sesuai sila ke-...,Wawasan Nusantara,Sila ketiga Persatuan Indonesia,Pasal 33 ayat 3,DPR,Bela negara melalui profesi,A,Musyawarah mufakat adalah inti sila ke-4 Kerakyatan yang dipimpin hikmat kebijaksanaan.,
TWK,NKRI,Bela Negara,sedang,[NKRI - Bela Negara] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Sila ketiga Persatuan Indonesia,Proklamasi 1945,Otonomi daerah,Pasal 29 ayat 2,Wawasan Nusantara,D,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,NKRI,Wawasan Nusantara,mudah,[NKRI - Wawasan Nusantara] Program bantuan sosial yang memprioritaskan warga miskin tanpa diskriminasi mencerminkan sila ke-...,Sumpah Pemuda 1928,Pasal 28A-28J,Sila kelima Keadilan Sosial,Sila pertama Ketuhanan Yang Maha Esa,Sila kedua Kemanusiaan yang Adil dan Beradab,C,Keadilan sosial sila ke-5 menuntut pemerataan dan keberpihakan pada yang lemah.,
TWK,NKRI,Otonomi Daerah,sedang,[NKRI - Otonomi Daerah] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Mahkamah Konstitusi,Reformasi 1998,Otonomi daerah,Sila ketiga Persatuan Indonesia,Keadilan sosial bagi seluruh rakyat,A,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,Bhinneka Tunggal Ika,Konflik & Resolusi,mudah,[Bhinneka Tunggal Ika - Konflik & Resolusi] Sumpah Pemuda 28 Oktober 1928 menegaskan ikrar...,Presiden,Pasal 28A-28J,Ketahanan nasional,Mencerdaskan kehidupan bangsa,MPR,C,"Isi Sumpah Pemuda: bertumpah darah, berbangsa, berbahasa satu Indonesia.",
TWK,Bhinneka Tunggal Ika,Konflik & Resolusi,mudah,[Bhinneka Tunggal Ika - Konflik & Resolusi] Program bantuan sosial yang memprioritaskan warga miskin tanpa diskriminasi mencerminkan sila ke-...,Sila kelima Keadilan Sosial,Bela negara melalui profesi,Ketahanan nasional,Sila pertama Ketuhanan Yang Maha Esa,Kebangkitan Nasional 1908,B,Keadilan sosial sila ke-5 menuntut pemerataan dan keberpihakan pada yang lemah.,
TWK,Bhinneka Tunggal Ika,Toleransi Antar Umat,mudah,[Bhinneka Tunggal Ika - Toleransi Antar Umat] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,Pasal 29 ayat 2,Pasal 27 ayat 2,Sumpah Pemuda 1928,Ketahanan nasional,DPR,D,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,Bhinneka Tunggal Ika,Konflik & Resolusi,sedang,[Bhinneka Tunggal Ika - Konflik & Resolusi] Seorang ASN menolak melayani warga berbeda agama dengan alasan keyakinan pribadi. Tindakan ini bertentangan dengan sila Pancasila ke-...,DPD,Pasal 29 ayat 2,Konferensi Meja Bundar,Reformasi 1998,Sila keempat Kerakyatan,B,Sila 1 menjamin kebebasan beragama dan toleransi; menolak layanan karena agama melanggar Ketuhanan Yang Maha Esa yang inklusif.,
TWK,Bhinneka Tunggal Ika,Konflik & Resolusi,sulit,[Bhinneka Tunggal Ika - Konflik & Resolusi] Ketua RT memutuskan iuran warga melalui musyawarah mufakat meski ada perbedaan pendapat. Nilai ini sesuai sila ke-...,Sumpah Pemuda 1928,Keadilan sosial bagi seluruh rakyat,Wawasan Nusantara,DPR,DPD,C,Musyawarah mufakat adalah inti sila ke-4 Kerakyatan yang dipimpin hikmat kebijaksanaan.,
TWK,Bhinneka Tunggal Ika,Multikulturalisme,mudah,[Bhinneka Tunggal Ika - Multikulturalisme] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Otonomi daerah,Kebangkitan Nasional 1908,Keadilan sosial bagi seluruh rakyat,Mahkamah Konstitusi,Proklamasi 1945,C,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
