kategori,sub_materi,topik,level,pertanyaan,opsi_a,opsi_b,opsi_c,opsi_d,opsi_e,kunci_jawaban,pembahasan,skor_tkp
TKP,Profesionalisme,Evaluasi Diri,sedang,Teman kelompok menilai kinerja Anda belum optimal padahal Anda merasa sudah maksimal. — konteks varian 2.,Menerima lapang dada dan memperbaiki kinerja,Menyangkalnya,Bersedih tanpa perbaikan,Balas memarahi teman,Menerima berat hati agar tidak ribut,A,"Skor 5: terbuka kritik, growth mindset. Kunci A skor 5.","{""A"":5,""B"":1,""C"":4,""D"":3,""E"":2}"
TKP,Profesionalisme,Komitmen,mudah,Anda pegawai berprestasi ditawari perusahaan kompetitor dengan gaji lebih besar. — konteks varian 3.,Melaporkan ke atasan sebagai ancaman,Langsung mengambil tawaran,Memakai tawaran untuk minta kenaikan gaji,Mempertimbangkan dengan keluarga lalu memutuskan pindah,"Menolak dengan pertimbangan loyalitas dan pengabdian, tetap fokus kontribusi",E,"Skor 5: integritas, profesionalisme, loyalitas. Kunci E skor 5.","{""A"":1,""B"":2,""C"":4,""D"":3,""E"":5}"
TKP,Sosial Budaya,Toleransi,mudah,Tim Anda kesulitan karena jam istirahat Jumat pukul 12.00 bentrok dengan salat Jumat 11.47. — konteks varian 2.,Menyiasati istirahat 11.00 tanpa izin,Meminta mereka protes sendiri,Menulis kritik di media sosial,Meminta anggota tetap istirahat 12.00,Mengajak perusahaan diskusi ulang penetapan jam istirahat Jumat,E,"Skor 5: adaptif, menghormati keberagaman, jalur formal. Kunci E skor 5.","{""A"":4,""B"":3,""C"":1,""D"":2,""E"":5}"
TKP,Jejaring Kerja,Manajemen Konflik,mudah,Dua anggota rapat berdebat keras dan sama-sama keras kepala saat Anda jadi fasilitator. — konteks varian 4.,Berusaha tidak memperkeruh tanpa menengahi,Meminta rekan lain menengahi,"Menengahi dan menyampaikan perbedaan pandangan itu wajar, ajak fokus solusi",Menegur keduanya agar diam,Mengabaikan saja,C,"Skor 5: fasilitator efektif, menjaga hubungan, kolaboratif. Kunci C skor 5.","{""A"":2,""B"":1,""C"":5,""D"":3,""E"":4}"
TKP,TIK,Keamanan Data,sedang,Anda menerima email mencurigakan mengatasnamakan pimpinan meminta data pegawai. — konteks varian 4.,Menghapus tanpa lapor,Langsung mengirim data karena dari pimpinan,"Memverifikasi ke pimpinan via kanal resmi, tidak mengirim data, dan melaporkan sebagai dugaan phishing",Meneruskan email ke rekan lain,Membalas meminta konfirmasi via email yang sama,C,"Skor 5: melek keamanan TIK, prosedural. Kunci C skor 5.","{""A"":1,""B"":3,""C"":5,""D"":2,""E"":4}"
TKP,Profesionalisme,Etos Kerja,sedang,Anda diminta mengerjakan tugas di luar bidang Anda oleh atasan.,Melempar ke rekan lain,"Menerima tugas, mempelajarinya, dan meminta bimbingan agar tetap profesional",Menerima agar disukai atasan,Menolak halus karena bukan jobdesk,Menolak tegas agar tidak semena-mena,B,"Skor 5: fleksibel, mau belajar, berorientasi tujuan organisasi. Kunci B skor 5.","{""A"":3,""B"":5,""C"":4,""D"":2,""E"":1}"
TKP,TIK,Literasi Digital,sulit,"Instansi Anda mulai menerapkan e-office, namun banyak rekan senior gagap teknologi.",Membiarkan mereka belajar sendiri,Hanya membantu jika diminta atasan,Mengeluh sistem baru menyulitkan,Mengerjakan tugas mereka agar cepat,"Membuat panduan singkat dan menawarkan pendampingan, serta menjadi helpdesk informal",E,Skor 5: memanfaatkan TIK untuk meningkatkan kinerja kolektif. Kunci E skor 5.,"{""A"":2,""B"":4,""C"":3,""D"":1,""E"":5}"
TKP,Pelayanan Publik,Kepuasan Pengguna,sulit,Atasan meminta Anda memangkas waktu pelayanan 30% tanpa menambah SDM. Bagaimana Anda menyikapinya? — konteks varian 3.,Meminta warga mengantri lebih cepat dengan membatasi konsultasi,Menunda beberapa permohonan agar terlihat cepat,Menolak arahan karena tidak realistis,"Menganalisis alur kerja, mengusulkan digitalisasi formulir dan briefing tim untuk efisiensi",Bekerja lembur setiap hari tanpa evaluasi proses,D,"Skor 5: proaktif, solutif, meningkatkan kinerja sistem bukan sekadar kerja keras. Kunci D skor 5.","{""A"":1,""B"":2,""C"":3,""D"":5,""E"":4}"
TKP,Jejaring Kerja,Membangun Relasi,sedang,"Anda melihat atasan berbelanja di supermarket saat akhir pekan, tidak di kantor. — konteks varian 3.",Tidak peduli karena bukan di kantor,Segera menghampiri dan menyapa dengan ramah,Menyelinap pergi agar tidak menyapa,Pura-pura tidak tahu sampai disapa dulu,"Melihat situasi, jika memungkinkan baru menyapa",B,"Skor 5: proaktif membangun jejaring, sopan, tidak canggung. Kunci B skor 5.","{""A"":3,""B"":5,""C"":2,""D"":1,""E"":4}"
TKP,Pelayanan Publik,Empati,sulit,Seorang ibu membawa bayi dan dokumen belum lengkap. Ia sudah menempuh jarak jauh ke kantor Anda. — konteks varian 5.,Memintanya menitip berkas ke orang lain,Menolak berkas karena tidak lengkap sesuai SOP,Menyuruhnya pulang melengkapi dulu,Menerima berkas tidak lengkap dan memproses seadanya,"Mengecek dokumen yang ada, membantu melengkapi yang kurang via online dan menjadwalkan susulan tanpa harus pulang sia-sia",E,Skor 5: memenuhi kebutuhan warga dengan tetap taat SOP namun memberi jalan keluar. Kunci E skor 5.,"{""A"":1,""B"":2,""C"":4,""D"":3,""E"":5}"
TKP,Jejaring Kerja,Manajemen Konflik,mudah,Dua anggota rapat berdebat keras dan sama-sama keras kepala saat Anda jadi fasilitator. — konteks varian 3.,Mengabaikan saja,Meminta rekan lain menengahi,Menegur keduanya agar diam,"Menengahi dan menyampaikan perbedaan pandangan itu wajar, ajak fokus solusi",Berusaha tidak memperkeruh tanpa menengahi,D,"Skor 5: fasilitator efektif, menjaga hubungan, kolaboratif. Kunci D skor 5.","{""A"":4,""B"":2,""C"":3,""D"":5,""E"":1}"
TKP,Jejaring Kerja,Kolaborasi,sedang,Rekan divisi lain mengusulkan ide berisiko tinggi yang menurut Anda merugikan perusahaan saat rapat gabungan. Ia menolak sanggahan Anda. — konteks varian 4.,Memintanya mencari ide berisiko kecil yang realistis,Diam dan mengikuti idenya saja,Memintanya memikirkan kembali tanpa diskusi,"Mengajaknya berbicara dengan bahasa santai, fokus pada tujuan bersama dan data risiko",Keluar ruangan dan melapor ke atasan,D,"Skor 5: menjaga hubungan, kolaboratif, komunikatif, fokus tujuan. Kunci D skor 5.","{""A"":2,""B"":1,""C"":4,""D"":5,""E"":3}"
TKP,Pelayanan Publik,Empati,mudah,Seorang ibu membawa bayi dan dokumen belum lengkap. Ia sudah menempuh jarak jauh ke kantor Anda. — konteks varian 4.,Menerima berkas tidak lengkap dan memproses seadanya,"Mengecek dokumen yang ada, membantu melengkapi yang kurang via online dan menjadwalkan susulan tanpa harus pulang sia-sia",Memintanya menitip berkas ke orang lain,Menolak berkas karena tidak lengkap sesuai SOP,Menyuruhnya pulang melengkapi dulu,B,Skor 5: memenuhi kebutuhan warga dengan tetap taat SOP namun memberi jalan keluar. Kunci B skor 5.,"{""A"":2,""B"":5,""C"":1,""D"":3,""E"":4}"
TKP,Profesionalisme,Disiplin SOP,mudah,Rekan tim melakukan kesalahan fatal karena tidak ikut SOP pada proyek penting yang menuntut kecepatan dan ketelitian. — konteks varian 4.,Berdiskusi dengan rekan lain untuk evaluasi dan solusi korektif bersama,Mengeluarkannya dari tim,Menganalisis kesalahan sendiri tanpa libatkan tim,Langsung lapor atasan tanpa diskusi,Menyuruhnya tanggung jawab ke atasan sendiri,A,"Skor 5: profesional, musyawarah, perbaikan sistem. Kunci A skor 5.","{""A"":5,""B"":1,""C"":3,""D"":2,""E"":4}"
TKP,Profesionalisme,Disiplin SOP,sulit,Rekan tim melakukan kesalahan fatal karena tidak ikut SOP pada proyek penting yang menuntut kecepatan dan ketelitian. — konteks varian 3.,Menyuruhnya tanggung jawab ke atasan sendiri,Berdiskusi dengan rekan lain untuk evaluasi dan solusi korektif bersama,Mengeluarkannya dari tim,Langsung lapor atasan tanpa diskusi,Menganalisis kesalahan sendiri tanpa libatkan tim,B,"Skor 5: profesional, musyawarah, perbaikan sistem. Kunci B skor 5.","{""A"":3,""B"":5,""C"":1,""D"":2,""E"":4}"
TKP,Profesionalisme,Tanggung Jawab,sulit,Anda tidak sengaja menabrakkan kendaraan dinas saat libur tanpa izin atasan yang sangat mempercayai Anda. — konteks varian 3.,Membawa ke bengkel diam-diam lalu mengembalikan,Mencoba memperbaiki sendiri diam-diam,Menyembunyikan karena tak ada yang tahu,Melapor tapi minta tidak dihukum,"Membawa ke bengkel atas biaya pribadi, melapor ke pimpinan dan menyerahkan keputusan",E,"Skor 5: akuntabilitas penuh, jujur, profesional. Kunci E skor 5.","{""A"":1,""B"":4,""C"":2,""D"":3,""E"":5}"
TKP,Pelayanan Publik,Kepuasan Pengguna,sedang,Atasan meminta Anda memangkas waktu pelayanan 30% tanpa menambah SDM. Bagaimana Anda menyikapinya? — konteks varian 2.,"Menganalisis alur kerja, mengusulkan digitalisasi formulir dan briefing tim untuk efisiensi",Menolak arahan karena tidak realistis,Bekerja lembur setiap hari tanpa evaluasi proses,Meminta warga mengantri lebih cepat dengan membatasi konsultasi,Menunda beberapa permohonan agar terlihat cepat,A,"Skor 5: proaktif, solutif, meningkatkan kinerja sistem bukan sekadar kerja keras. Kunci A skor 5.","{""A"":5,""B"":3,""C"":2,""D"":1,""E"":4}"
TKP,Jejaring Kerja,Manajemen Konflik,mudah,Dua anggota rapat berdebat keras dan sama-sama keras kepala saat Anda jadi fasilitator. — konteks varian 2.,Meminta rekan lain menengahi,Mengabaikan saja,Berusaha tidak memperkeruh tanpa menengahi,Menegur keduanya agar diam,"Menengahi dan menyampaikan perbedaan pandangan itu wajar, ajak fokus solusi",E,"Skor 5: fasilitator efektif, menjaga hubungan, kolaboratif. Kunci E skor 5.","{""A"":1,""B"":3,""C"":2,""D"":4,""E"":5}"
