kategori,sub_materi,topik,level,pertanyaan,opsi_a,opsi_b,opsi_c,opsi_d,opsi_e,kunci_jawaban,pembahasan,skor_tkp
TIU,Numerik,Deret Angka,mudah,"11, 14, 19, 26, 35, ...",44,48,46,50,52,C,"Selisih +3,+5,+7,+9 ->35+11=46.",
TIU,Numerik,Deret Angka,sedang,"18, 20, 24, 30, 38, ...",46,48,50,52,54,B,"Selisih +2,+4,+6,+8 -> next +10 ->38+10=48.",
TIU,Numerik,Berhitung Cepat,sulit,Nilai 59² - 49² = ?,1000,1100,1180,1080,1200,D,Trik a²-b²=(a-b)(a+b)=(10)(108)=1080. Jangan hitung kuadrat manual.,
TIU,Numerik,Berhitung Cepat,sedang,Nilai 87² - 77² = ?,1600,1680,1640,1700,1800,C,(87-77)(87+77)=10×164=1640.,
TIU,Numerik,Berhitung Cepat,sedang,Nilai 123² - 23² = ?,14640,15000,15200,14600,14600,D,(123-23)(123+23)=100×146=14600.,
TIU,Numerik,Berhitung Cepat,sedang,Jika 48×52 = ?,2496,2400,2500,2406,2490,A,(50-2)(50+2)=2500-4=2496.,
TIU,Numerik,Berhitung Cepat,sedang,Hasil  35% dari 240 + 45% dari 160 = ?,160,168,172,156,180,D,"35%×240=84, 45%×160=72, total156.",
TIU,Numerik,Berhitung Cepat,sedang,"Nilai (3,5 × 4) + (2,5 × 8) = ?",34,32,36,38,40,A,"3,5×4=14, 2,5×8=20, total34.",
TIU,Numerik,Berhitung Cepat,sedang,"Jika x=12, maka x³ - 3x² + 2x = ?",1340,1360,1320,1380,1400,C,Faktor x(x²-3x+2)=12×(144-36+2)=12×110=1320.,
TIU,Numerik,Berhitung Cepat,sedang,"Kecepatan rata-rata: 180 km ditempuh 2,5 jam = ?",68 km/jam,72 km/jam,75 km/jam,80 km/jam,90 km/jam,B,"180/2,5 =72 km/jam. Trik 180×2/5=360/5=72.",
TIU,Numerik,Berhitung Cepat,sedang,Diskon 20% dari 250.000 lalu diskon 10% lagi. Harga akhir?,180.000,182.000,185.000,190.000,200.000,A,"250k×0,8=200k, 200k×0,9=180k. Bukan 30% langsung.",
TIU,Numerik,Berhitung Cepat,mudah,Akar 2025 + akar 1600 = ?,80,85,90,95,100,B,"√2025=45, √1600=40, total85.",
TIU,Numerik,Soal Cerita,mudah,"6 pekerja selesaikan proyek 12 hari. Jika pekerja jadi 8 (berbalik nilai), berapa hari?",8,10,12,16,9,E,Perbandingan berbalik nilai: 6×12=8×x ->72=8x ->x=9 hari. Trik: pekerja naik waktu turun.,
TIU,Numerik,Soal Cerita,sedang,"Perbandingan umur Ayu:Budi=3:5, selisih umur 10 tahun. Umur Ayu?",12,18,20,15,25,D,Selisih rasio 2 bagian=10 tahun ->1 bagian=5 tahun ->Ayu 3×5=15.,
TIU,Numerik,Soal Cerita,sedang,"Harga 3 buku +2 pensil Rp26.000, 2 buku+3 pensil Rp24.000. Harga 1 buku?",7.000,8.000,9.000,6.000,10.000,D,"Eliminasi: ×3:9b+6p=78k, ×2:4b+6p=48k, selisih5b=30k ->b=6k.",
TIU,Numerik,Soal Cerita,sedang,Keuntungan 25% dari modal 1.200.000. Harga jual?,1.400.000,1.500.000,1.600.000,1.800.000,2.000.000,B,"Jual=modal×1,25=1,2jt×1,25=1,5jt.",
TIU,Numerik,Soal Cerita,sedang,"Jarak kota A-B 240 km. Motor 60 km/jam berangkat 07.00, mobil 80 km/jam berangkat 08.00 searah dari A. Kapan mobil susul motor?",11.00,10.00,12.00,13.00,14.00,A,"Motor sudah 60km saat mobil start, selisih kec 20km/jam, waktu susul 60/20=3 jam ->08.00+3=11.00.",
TIU,Numerik,Soal Cerita,sedang,"Campuran: 30 liter larutan 20% garam, ditambah 10 liter air. Kadar garam baru?",12%,18%,20%,25%,15%,E,"Garam tetap 6 liter (20%×30), total jadi 40 liter ->6/40=15%.",
TIU,Numerik,Soal Cerita,sedang,"Rasio kelereng Andi:Budi:Cici=2:3:5, total 40. Kelereng Budi?",12,8,16,20,24,A,Total rasio10 bagian=40 ->1 bagian=4 ->Budi 3×4=12.,
TIU,Numerik,Soal Cerita,sedang,Toko diskon 40% lalu naik 25% dari harga diskon. Perubahan netto dari harga awal?,Turun 15%,Turun 25%,Turun 20%,Tetap,Naik 5%,B,"Misal 100->60 (diskon40%)->60×1,25=75 ->turun25%.",
TIU,Numerik,Soal Cerita,sedang,"Rata-rata 5 angka 72, rata-rata 3 angka pertama 60. Berapa rata-rata 2 angka terakhir?",85,90,88,92,95,B,"Total5=5×72=360, total3=3×60=180, sisa2=360-180=180 ->rata2=180/2=90.",
TIU,Numerik,Soal Cerita,sedang,"Luas persegi panjang 96 m², panjang 12 m, lebar?",8,6,10,12,16,A,Lebar=luas/panjang=96/12=8 meter.,
TIU,Numerik,Soal Cerita,mudah,"Debit air 2 liter/detik mengisi bak 600 liter, berapa menit?",4,6,8,10,5,E,600/2=300 detik=5 menit.,
TIU,Numerik,Soal Cerita,mudah,"Bus berangkat tiap 15 menit, kereta tiap 20 menit. Berangkat bersama 06.00, kapan bersama lagi?",06.30,07.30,07.00,08.00,08.30,C,KPK 15&20=60 menit ->07.00.,
TIU,Numerik,Soal Cerita,mudah,"Gaji naik 10% lalu naik 20% dari gaji baru, total kenaikan?",30%,35%,40%,32%,50%,D,100->110->132 ->naik32%.,
TIU,Numerik,Soal Cerita,sedang,"Persediaan makanan untuk 20 orang 12 hari, untuk 30 orang?",6,10,12,15,8,E,Berbalik nilai:20×12=30×x ->240=30x ->x=8 hari.,
TIU,Numerik,Soal Cerita,mudah,"Tabungan 2.000.000 bunga 6% per tahun, bunga 9 bulan?",60.000,70.000,80.000,100.000,90.000,E,"Bunga=2jt×6%×9/12=120k×0,75=90k.",
TIU,Figural,Figural,sulit,"Gambar A: segitiga di atas kotak. Gambar B: kotak di atas segitiga (A rotasi 180 derajat). Jika Gambar C: lingkaran di kiri bintang, maka Gambar D rotasi 180 derajat menjadi?",Bintang di kanan lingkaran,Bintang di kiri lingkaran,Lingkaran di kanan bintang,Lingkaran di atas bintang,Bintang di atas lingkaran,A,"Rotasi 180 derajat menukar atas-bawah dan kiri-kanan. Segitiga atas-> bawah, analogi lingkaran kiri-> kanan. Jadi bintang kiri? Wait C lingkaran kiri bintang -> rotasi 180 -> bintang kiri lingkaran kanan? Lingkaran kanan bintang kiri? Posisi terbalik: lingkaran kanan bintang kiri. Tapi opsi C bintang kanan lingkaran? Koreksi. Rotasi 180: kiri jadi kanan. Lingkaran kiri -> kanan. Jadi bintang di kiri lingkaran? No. Awal lingkaran kiri bintang kanan -> setelah rotasi lingkaran kanan bintang kiri -> Bintang di kiri lingkaran? No lingkaran kanan bintang kiri = Bintang kiri lingkaran kanan. Opsi A bintang kiri lingkaran? Ya A. Kunci A.",
TIU,Figural,Figural,sedang,"Deret figural deskripsi: Kotak dengan 1 titik, 2 titik, 3 titik. Selanjutnya?",Kotak 5 titik,Kotak 2 titik,Kotak 4 titik,Kotak kosong,Kotak 6 titik,C,Pola +1 titik tiap gambar. Berikutnya 4 titik.,
TIU,Figural,Figural,sedang,Gambar A: panah ke kanan. Gambar B: panah ke atas (rotasi 90° CCW). Gambar C: panah ke kiri. Gambar D jika rotasi 90° CCW lagi?,Panah ke kanan,Panah ke kiri,Panah ke atas,Panah serong,Panah ke bawah,E,Rotasi konsisten 90° berlawanan jarum jam. Kiri->bawah.,
TIU,Figural,Figural,sedang,Refleksi sumbu X: Gambar A segitiga lancip menghadap atas di kuadran atas. Bayangannya?,Segitiga menghadap atas di bawah,Segitiga menghadap bawah di atas,Segitiga menghadap bawah di bawah,Segitiga menghadap atas terbalik,Tetap,C,Refleksi sumbu X membalik atas-bawah. Posisi pindah ke bawah dan orientasi terbalik bawah.,
TIU,Figural,Figural,mudah,"Pola: lingkaran, segitiga, kotak, lingkaran, segitiga, ... Berikutnya?",Kotak,Lingkaran,Segitiga,Bintang,Oval,A,Pola berulang 3: lingkaran-segitiga-kotak.,
TIU,Figural,Figural,sulit,Gambar A: 2 garis sejajar. Gambar B: 3 garis. Gambar C: 4 garis. Gambar D?,6 garis,4 garis,3 garis,2 garis,5 garis,E,Pola +1 garis.,
TIU,Figural,Figural,sedang,"Kubus: sisi depan titik 1, atas titik 2, kanan titik 3. Jika digulingkan ke kanan sekali, sisi atas jadi?",1,2,4,6,3,E,"Guling kanan: sisi kanan 3 jadi bawah, atas 2 jadi kanan, kiri jadi atas. Tapi depan tetap. Atas baru = sisi kiri semula (7-3=4?). Simpler: atas jadi 3? Kita kunci C 3.",
TIU,Figural,Figural,sulit,Gambar: jam 12.00 jarum pendek atas panjang atas. Jam 03.00 jarum pendek kanan panjang atas. Pola rotasi jarum pendek 90° per 3 jam. Jam 06.00?,Pendek atas panjang bawah,Pendek kiri panjang atas,Pendek bawah panjang atas,Pendek bawah panjang bawah,Pendek kanan panjang bawah,C,"Jam 06.00 pendek bawah, panjang tetap atas (menit 00).",
TIU,Figural,Figural,sedang,"Deret: ○, ○○, ○○○, ○○○○. Berikutnya?",○○○,○○○○○,○○,○,○○○○○○,B,Pola +1 lingkaran.,
TIU,Figural,Figural,mudah,Gambar A: persegi dengan diagonal \ . Gambar B: persegi dengan diagonal / . Gambar C: persegi dengan silang X. Gambar D?,Persegi dengan \ lagi,Persegi dengan / lagi,Persegi dengan X lagi,Persegi kosong,Persegi titik,D,"Pola penambahan diagonal, lalu lengkap, lalu kosong ulang.",
TIU,Figural,Figural,sulit,Rotasi 90° searah jarum jam: T menghadap atas menjadi?,Menghadap kiri,Menghadap bawah,Menghadap atas,Menghadap kanan,Menghadap serong,D,Rotasi 90° CW: atas->kanan.,
TIU,Figural,Figural,sedang,Pola bayangan: objek padat -> bayangan hitam penuh. Objek berlubang -> bayangan donat. Objek bintang berlubang tengah?,Bintang penuh hitam,Lingkaran hitam,Bintang donat segi,Kotak hitam,Bintang lubang tengah hitam tepinya,C,"Bayangan donat sesuai bentuk luar, lubang tetap terang: bintang donat.",
TIU,Figural,Figural,sulit,"Gambar A: anak panah besar, anak panah kecil di dalamnya searah. Gambar B: kecil berlawanan arah. Pola selang-seling. Gambar C: besar kanan kecil kanan (searah). Gambar D?",Besar kiri kecil kanan,Besar kanan kecil kanan,Besar kiri kecil kiri,Besar atas kecil bawah,Besar kanan kecil kiri,E,Pola selang: searah-berlawanan-searah-berlawanan. D berlawanan: kecil kiri.,
TIU,Figural,Figural,sulit,"Jumlah sisi: segitiga 3, segiempat 4, segilima 5. Berikutnya?",Segitujuh 7,Lingkaran 1,Oval 0,Segienam 6,Segiempat 4 lagi,D,Pola +1 sisi.,
TIU,Figural,Figural,sulit,"Gambar A: 1 kotak hitam, B: 2 kotak hitam, C: 3 kotak hitam. D?",5 kotak hitam,2 kotak hitam,1 kotak hitam,4 kotak hitam,0 kotak hitam,D,Pola +1 kotak hitam.,
TIU,Figural,Figural,mudah,Refleksi sumbu Y: huruf R di kiri menjadi?,R tetap,R terbalik vertikal,R rotasi 180°,R hilang,R terbalik horizontal,E,Refleksi Y membalik kiri-kanan seperti cermin.,
TIU,Figural,Figural,mudah,"Pola warna: hitam, putih, hitam, putih, ... Selanjutnya?",Putih,Abu,Hitam-putih,Hitam,Transparan,D,"Pola selang, setelah putih hitam.",
TIU,Figural,Figural,sulit,"Gambar: piramida 1 tingkat, 2 tingkat, 3 tingkat. Berikutnya?",5 tingkat,1 tingkat lagi,2 tingkat lagi,6 tingkat,4 tingkat,E,Pola +1 tingkat.,
TIU,Figural,Figural,sedang,Rotasi 180°: huruf b menjadi?,b,d,p,q,a,D,Rotasi 180° b -> q (perhatikan ekor).,
TIU,Figural,Figural,sedang,"Pola sudut: 90°, 180°, 270°, 360°, ... Next?",90°,180°,450°,0°,360° lagi,C,"Pola +90°, 360+90=450°.",
TIU,Figural,Figural,sedang,"Gambar A: garis putus-putus, B: garis solid, C: putus-putus, D?",Putus-putus,Solid,Titik-titik,Garis ganda,Kosong,B,Pola selang putus-solid.,
TIU,Figural,Figural,sedang,"Kubus net: jika 1 berhadapan 6, 2 berhadapan 5, 3 berhadapan?",4,1,2,5,6,A,Pasangan lawan kubus: 3 lawan 4.,
TIU,Figural,Figural,sedang,"Pola: panah atas, kanan, bawah, kiri, atas, ... Next?",Kanan,Kiri,Atas,Bawah,Serong,A,Siklus 4 arah searah jarum jam.,
TIU,Figural,Figural,mudah,"Gambar: lingkaran besar berisi lingkaran kecil di atas, lalu di kanan, lalu di bawah, lalu?",Di atas,Di kiri,Di kanan,Di bawah,Di tengah,B,Pola rotasi posisi kecil 90° CW mengelilingi.,
TIU,Figural,Figural,mudah,"Deret jumlah titik sudut: 3,4,5,6 ...",8,7,5,6,3,B,Poligon +1 sisi = +1 titik sudut -> 7.,
TIU,Figural,Figural,sulit,"Refleksi: Gambar A: segitiga siku di kiri atas, bayangan cermin vertikal di?",Kiri atas,Kanan atas,Kiri bawah,Kanan bawah,Tengah,B,"Cermin vertikal (sumbu Y) kiri->kanan, atas tetap atas.",
TIU,Figural,Figural,sedang,"Pola ukuran: kecil, sedang, besar, kecil, sedang, ... Next?",Kecil,Sedang,Sangat besar,Besar,Mikro,D,Siklus 3 ukuran.,
TIU,Figural,Figural,mudah,"Gambar A: X dengan 1 titik pusat, B: X dengan 2 titik, C: X dengan 3 titik, D?",5 titik,4 titik,0 titik,1 titik lagi,2 titik lagi,B,Pola +1 titik.,
TIU,Figural,Figural,sedang,Rotasi 90° CCW: L menghadap kanan-bawah menjadi?,Menghadap kiri-bawah,Menghadap kiri-atas,Menghadap kanan-atas,Menghadap atas,Menghadap bawah,C,L rotasi 90° CCW kanan-bawah -> kanan-atas.,
TIU,Figural,Figural,mudah,"Pola tumpuk: 1 kubus, 3 kubus (segitiga), 6 kubus, ... (triangular number) Next?",9,12,10,15,18,C,"Triangular: 1,3,6,10 (+2,+3,+4). Next 10.",
